,lags,semivariance
0,0.0,0.328025420891
1,13469.3877551,0.33106517757
2,26938.7755102,0.333831738042
3,40408.1632653,0.336035334423
4,53877.5510204,0.337350920944
5,67346.9387755,0.338618914348
6,80816.3265306,0.339455685314
7,94285.7142857,0.340147991928
8,107755.102041,0.340063696934
9,121224.489796,0.340321606587
10,134693.877551,0.340011903249
11,148163.265306,0.34030927395
12,161632.653061,0.340144166578
13,175102.040816,0.339773435885
14,188571.428571,0.34038909741
15,202040.816327,0.340531387898
16,215510.204082,0.340437655458
17,228979.591837,0.340278969377
18,242448.979592,0.340150827492
19,255918.367347,0.339708489379
20,269387.755102,0.340552872139
21,282857.142857,0.34116819224
22,296326.530612,0.341341450765
23,309795.918367,0.341411416525
24,323265.306122,0.340932340986
25,336734.693878,0.340455191892
26,350204.081633,0.340300827361
27,363673.469388,0.340498154044
28,377142.857143,0.341090671715
29,390612.244898,0.341245354166
30,404081.632653,0.342531712082
31,417551.020408,0.342893542037
32,431020.408163,0.343453443115
33,444489.795918,0.343051725684
34,457959.183673,0.342119312355
35,471428.571429,0.342824370621
36,484897.959184,0.342653623347
37,498367.346939,0.341537146377
38,511836.734694,0.341788521146
39,525306.122449,0.341948763647
40,538775.510204,0.342382275929
41,552244.897959,0.342397879827
42,565714.285714,0.342117137759
43,579183.673469,0.342150925852
44,592653.061224,0.341686054745
45,606122.44898,
46,619591.836735,
47,633061.22449,
48,646530.612245,
