,envhigh,envlow,lags,variogram
0,0.351657736925,0.341716847379,0.0,0.342351022634
1,0.350404631783,0.344751014918,17710.6676522,0.345046647816
2,0.349004488009,0.345298296466,35421.3353044,0.345785989957
3,0.348203293857,0.345100556901,53132.0029567,0.344927863238
4,0.347981329934,0.345161102242,70842.6706089,0.345162372566
5,0.348089703646,0.345867372467,88553.3382611,0.344591071454
6,0.347924875918,0.344888360051,106264.005913,0.341001371555
7,0.348160003993,0.344843402591,123974.673566,0.342159331068
8,0.348051533555,0.345573289371,141685.341218,0.343682374228
9,0.34776148352,0.345990381478,159396.00887,0.34648116743
10,0.347977126771,0.345083288411,177106.676522,0.345086912837
11,0.348096247953,0.345985158467,194817.344174,0.347193135935
12,0.347615879057,0.345946144688,212528.011827,0.347322316851
13,0.34811255561,0.346041923571,230238.679479,0.347308261606
14,0.347916197827,0.346014467716,247949.347131,0.346960960866
15,0.348000581449,0.34559663969,265660.014783,0.344973808685
16,0.348734024021,0.345814054997,283370.682435,0.346408811414
17,0.347872828367,0.345270068582,301081.350088,0.346901780823
18,0.34805945177,0.345760679295,318792.01774,0.348356735671
19,0.348170520975,0.34559616705,336502.685392,0.34632075334
20,0.348314342258,0.345128153164,354213.353044,0.34684781563
21,0.348817289122,0.345525656928,371924.020697,0.346545385904
22,0.348126643397,0.345545014881,389634.688349,0.349242362409
23,0.348425604175,0.345175576402,407345.356001,0.351451359523
24,0.349746459632,0.345458213727,425056.023653,0.356822428631
25,0.350870806845,0.345209089821,442766.691305,0.355952826952
26,0.349841494773,0.344508553335,460477.358958,0.358138079611
27,0.350308030759,0.344066625101,478188.02661,0.358136473689
28,0.350909888977,0.343924847456,495898.694262,0.357902550754
29,0.352549663096,0.34305195079,513609.361914,0.360670160598
30,0.351026825051,0.342573302196,531320.029567,0.362943106052
31,0.35390074097,0.341661465336,549030.697219,0.366047349778
32,0.352976931771,0.341523990352,566741.364871,0.358447569169
33,0.357918939426,0.342163971462,584452.032523,0.368392276721
34,0.358509706395,0.3375286665,602162.700175,0.369928302028
35,0.358622901913,0.332571535335,619873.367828,0.362509012442
36,0.364935146553,0.332620450095,637584.03548,0.394308446091
37,0.374662876572,0.313790088445,655294.703132,0.431744990444
38,0.454301572749,0.279611726498,673005.370784,0.568240755469
