,envhigh,envlow,lags,variogram
0,0.351664400095,0.340993879125,0.0,0.342351022634
1,0.349145374062,0.345033561036,17710.6676522,0.345046647816
2,0.348643604437,0.34520262407,35421.3353044,0.345785989957
3,0.348298695167,0.345047832132,53132.0029567,0.344927863238
4,0.34865489295,0.345297504477,70842.6706089,0.345162372566
5,0.348320092227,0.345214890567,88553.3382611,0.344591071454
6,0.348269405934,0.345544791801,106264.005913,0.341001371555
7,0.347792997523,0.345710388678,123974.673566,0.342159331068
8,0.34837779386,0.345056795285,141685.341218,0.343682374228
9,0.348463257706,0.345965235525,159396.00887,0.34648116743
10,0.347935401265,0.345636550057,177106.676522,0.345086912837
11,0.348294589699,0.345937597646,194817.344174,0.347193135935
12,0.348349248576,0.345568969107,212528.011827,0.347322316851
13,0.348001920626,0.345887359405,230238.679479,0.347308261606
14,0.347583390006,0.346055004115,247949.347131,0.346960960866
15,0.348153106852,0.345577871156,265660.014783,0.344973808685
16,0.348476861558,0.345864223905,283370.682435,0.346408811414
17,0.348449059359,0.345690933529,301081.350088,0.346901780823
18,0.348361452134,0.345636531537,318792.01774,0.348356735671
19,0.347789452765,0.345442585402,336502.685392,0.34632075334
20,0.347890816794,0.345717862335,354213.353044,0.34684781563
21,0.348455220234,0.345371750539,371924.020697,0.346545385904
22,0.349180960442,0.345411175614,389634.688349,0.349242362409
23,0.348884942719,0.345135122144,407345.356001,0.351451359523
24,0.350123478801,0.345207135367,425056.023653,0.356822428631
25,0.349542285114,0.345314971756,442766.691305,0.355952826952
26,0.349547490043,0.344176018449,460477.358958,0.358138079611
27,0.348907548166,0.343823294607,478188.02661,0.358136473689
28,0.349963903736,0.344103679129,495898.694262,0.357902550754
29,0.350949757141,0.343623841171,513609.361914,0.360670160598
30,0.351697769115,0.342356079993,531320.029567,0.362943106052
31,0.351569488074,0.342200565527,549030.697219,0.366047349778
32,0.354429654444,0.338728684061,566741.364871,0.358447569169
33,0.354654069086,0.338171134276,584452.032523,0.368392276721
34,0.357507166819,0.337523956603,602162.700175,0.369928302028
35,0.36253908605,0.336116587342,619873.367828,0.362509012442
36,0.367577713307,0.332462156429,637584.03548,0.394308446091
37,0.377691084102,0.319737925702,655294.703132,0.431744990444
38,0.471317831889,0.288550978837,673005.370784,0.568240755469
