,envhigh,envlow,lags,variogram
0,0.362476114161,0.360361440292,0.0,0.329755876017
1,0.362199386925,0.360757193988,22448.9795918,0.334142218981
2,0.362128949798,0.360888130549,44897.9591837,0.336923752579
3,0.362203016617,0.36107856397,67346.9387755,0.338144140523
4,0.362167494399,0.360997395034,89795.9183673,0.33915448055
5,0.362070089078,0.361011561,112244.897959,0.33938729616
6,0.362066481878,0.361082604995,134693.877551,0.339928945047
7,0.362072006663,0.361138550431,157142.857143,0.340545207347
8,0.362044028474,0.361064763333,179591.836735,0.341224101008
9,0.362143971475,0.361022710761,202040.816327,0.341713052581
10,0.362020662357,0.361050174203,224489.795918,0.342325942598
11,0.362066634279,0.361134863979,246938.77551,0.342361592677
12,0.362013144773,0.361206792999,269387.755102,0.342877731467
13,0.36209122596,0.361252696931,291836.734694,0.34273949122
14,0.362075403745,0.361198767413,314285.714286,0.343088871036
15,0.362077789594,0.361231215006,336734.693878,0.342624036383
16,0.362071227162,0.361210842021,359183.673469,0.34265743935
17,0.362083817581,0.361186951134,381632.653061,0.342359515652
18,0.362020185122,0.3611268989,404081.632653,0.342741904418
19,0.362011089863,0.361214378516,426530.612245,0.342897124559
20,0.362046694858,0.361050510561,448979.591837,0.342181336171
21,0.362003807081,0.361170670055,471428.571429,0.342350803505
22,0.362060549674,0.361101209459,493877.55102,0.341799938159
23,0.362026675786,0.361129953714,516326.530612,0.341615077623
24,0.362017095992,0.36111173091,538775.510204,0.340997616902
25,0.362075129764,0.361154828465,561224.489796,0.340664795434
26,0.361994039332,0.361134702387,583673.469388,0.339757505699
27,0.362050724289,0.361126193953,606122.44898,0.339485458616
28,0.362026279165,0.361083727443,628571.428571,0.338972253004
29,0.362040399269,0.36105601629,651020.408163,0.33897420525
30,0.36199665861,0.361105179578,673469.387755,0.338726319025
31,0.362021640462,0.361062690412,695918.367347,0.33842647601
32,0.362019021782,0.361056265778,718367.346939,0.338141099552
33,0.361968843006,0.361094117432,740816.326531,0.337907027515
34,0.362028056862,0.361154133778,763265.306122,0.338306073206
35,0.362040379666,0.3611640282,785714.285714,0.338251257516
36,0.362011867176,0.361052430895,808163.265306,0.338373317807
37,0.36207026718,0.361124112782,830612.244898,0.338670191884
38,0.362007206798,0.361062780976,853061.22449,0.338456341084
39,0.362044465862,0.36109682678,875510.204082,0.338122033745
40,0.361984180473,0.361095131778,897959.183673,0.337834915134
41,0.36197097952,0.361088851813,920408.163265,0.33785608102
42,0.36202068137,0.361108572005,942857.142857,0.338018198447
43,0.36207360912,0.361117248912,965306.122449,0.338321398279
44,0.362116184626,0.360950598616,987755.102041,0.338632840941
45,,,1010204.08163,
46,,,1032653.06122,
47,,,1055102.04082,
48,,,1077551.02041,
