,envhigh,envlow,lags,variogram
0,0.362545691926,0.360477711625,0.0,0.329769883333
1,0.362185500815,0.360609861969,22448.9795918,0.334159331308
2,0.362110607664,0.360931800628,44897.9591837,0.336943958393
3,0.362067843201,0.360925371347,67346.9387755,0.338168625722
4,0.362067239683,0.361007581924,89795.9183673,0.339184423584
5,0.362057131192,0.36105696028,112244.897959,0.339415353222
6,0.362061686702,0.361121012907,134693.877551,0.339953064858
7,0.362084215091,0.361150465608,157142.857143,0.340565528037
8,0.36206419417,0.361199760165,179591.836735,0.341252484692
9,0.362120251033,0.361168509358,202040.816327,0.341735804234
10,0.362128127425,0.361147836018,224489.795918,0.342341140195
11,0.362077384627,0.361136894545,246938.77551,0.342373324035
12,0.362037422011,0.361162580561,269387.755102,0.342891620979
13,0.362031696594,0.361242771854,291836.734694,0.34275434819
14,0.362020673222,0.361266818475,314285.714286,0.343099063483
15,0.362021661938,0.361182177554,336734.693878,0.342632963506
16,0.362044519051,0.361159763526,359183.673469,0.342665832781
17,0.36207993705,0.361155251906,381632.653061,0.342383709336
18,0.362050034843,0.361188656769,404081.632653,0.342765179432
19,0.36202930387,0.361190237101,426530.612245,0.34291836556
20,0.362065351142,0.361219998191,448979.591837,0.342204544835
21,0.362028420518,0.361226260445,471428.571429,0.342376849633
22,0.362091370887,0.361196593677,493877.55102,0.341831196924
23,0.362023563956,0.361103759358,516326.530612,0.341638011564
24,0.362002747598,0.361200113525,538775.510204,0.341021346777
25,0.362000967841,0.361211116717,561224.489796,0.340676575152
26,0.362066489341,0.361119679995,583673.469388,0.339764298654
27,0.362034682621,0.361185892346,606122.44898,0.339502577687
28,0.362052591904,0.361097462053,628571.428571,0.338996878133
29,0.362043363809,0.361100255876,651020.408163,0.338984944307
30,0.362083356345,0.361130947933,673469.387755,0.338744689207
31,0.362061264834,0.361042043405,695918.367347,0.338444976702
32,0.362057499016,0.361095278844,718367.346939,0.338152611893
33,0.362073774882,0.361048857913,740816.326531,0.337917337073
34,0.362010278078,0.361140530746,763265.306122,0.338309443845
35,0.362055141991,0.361128820006,785714.285714,0.338248196124
36,0.362019744701,0.361063452453,808163.265306,0.338379847689
37,0.362042801235,0.361169067259,830612.244898,0.338677077321
38,0.362037431236,0.361105628928,853061.22449,0.338468534738
39,0.362043651744,0.361109566139,875510.204082,0.338127676434
40,0.362012282864,0.36110558143,897959.183673,0.337844375745
41,0.362062469796,0.361155555478,920408.163265,0.337862966335
42,0.362030116788,0.360992532092,942857.142857,0.338020905506
43,0.362069087378,0.361015314224,965306.122449,0.338314954725
44,0.362077201545,0.360947371815,987755.102041,0.338615373987
45,,,1010204.08163,
46,,,1032653.06122,
47,,,1055102.04082,
48,,,1077551.02041,
